num,admiration,adoration,aesthetic_appreciation,amusement,anger,anxiety,awe,awkwardness,boredom,calmness,confusion,contempt,craving,disappointment,disgust,empathic_pain,entrancement,envy,excitement,fear,guilt,horror,interest,joy,nostalgia,pride,relief,romance,sadness,satisfaction,sexual_desire,surprise,sympathy,triumph,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
352,0.0,0.0,0.0,0.0,0.0,0.076923,0.076923,0.0,0.076923,0.0,0.0,0.0,0.0,0.076923,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.38462,0.0,0.0,0.0,0.0,0.0,0.15385,0.076923,0.0,0.15385,0.15385,0.076923,2.6667,5.7778,5.0,4.2222,4.2222,3.3333,3.4444,4.3333,3.7778,3.1111,4.7778,3.4444,3.4444,3.1111
353,0.23077,0.0,0.0,0.076923,0.0,0.15385,0.23077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.30769,0.076923,0.0,0.0,0.15385,0.0,0.0,0.076923,0.076923,0.0,0.0,0.23077,0.0,0.38462,0.0,0.15385,5.1111,7.3333,8.0,5.1111,4.7778,6.0,4.8889,2.5556,6.1111,4.8889,3.5556,4.6667,7.6667,8.1111
354,0.0,0.076923,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23077,0.69231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1111,4.6667,5.1111,6.0,6.1111,7.1111,4.1111,2.7778,7.6667,5.3333,2.2222,7.7778,6.5556,7.8889
355,0.0,0.0,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92308,0.076923,0.0,0.0,0.0,0.076923,0.0,0.38462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,1.5556,6.5556,3.3333,2.8889,2.0,1.4444,3.0,6.7778,1.7778,1.7778,5.4444,1.2222,1.6667,1.3333
356,0.0,0.076923,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.15385,0.69231,0.0,0.0,0.0,0.0,0.15385,0.0,0.0,0.076923,0.076923,6.8889,5.8889,6.6667,6.8889,5.6667,6.7778,4.5556,2.2222,7.4444,4.8889,2.1111,7.0,7.1111,7.6667
357,0.0,0.076923,0.076923,0.38462,0.0,0.0,0.46154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.15385,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23077,0.076923,0.076923,6.2222,6.2222,6.5556,6.1111,6.0,6.1111,4.4444,3.3333,6.6667,3.8889,3.7778,5.6667,7.2222,6.6667
358,0.15385,0.0,0.076923,0.38462,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.076923,0.0,0.0,0.0,0.076923,0.076923,0.0,0.15385,0.15385,0.0,0.0,0.076923,0.0,0.23077,0.076923,0.23077,3.5556,6.5556,7.2222,6.3333,5.5556,6.3333,6.1111,2.7778,6.3333,4.6667,1.8889,5.8889,7.0,7.2222
359,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.15385,0.0,0.15385,0.84615,0.0,0.0,0.0,5.2222,5.8889,5.8889,5.5556,4.5556,6.2222,3.8889,5.2222,4.8889,4.8889,3.0,5.4444,4.7778,5.3333
360,0.0,0.0,0.38462,0.15385,0.0,0.0,0.0,0.0,0.30769,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.23077,0.0,0.0,0.0,0.0,0.0,0.23077,0.076923,0.0,0.0,0.0,0.0,0.0,0.30769,0.0,0.0,0.0,0.0,5.5556,5.0,5.3333,6.3333,3.0,7.1111,4.5556,4.2222,7.2222,2.7778,2.6667,6.6667,6.2222,6.4444
361,0.0,0.083333,0.0,0.83333,0.0,0.0,0.16667,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.58333,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.083333,0.0,0.0,4.6667,5.1111,5.3333,6.3333,4.3333,6.6667,3.4444,2.6667,4.8889,5.1111,3.5556,6.1111,6.4444,5.7778
362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.083333,0.16667,0.0,0.0,0.0,0.375,0.0,0.0,0.70833,0.0,0.0,0.0,7.1111,6.3333,6.6667,6.5556,5.1111,6.3333,5.5556,2.0,4.6667,5.2222,4.5556,5.3333,6.1111,7.1111
363,0.0,0.0,0.0,0.083333,0.0,0.41667,0.0,0.0,0.0,0.0,0.16667,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.083333,0.33333,0.0,0.33333,0.0,0.083333,0.0,0.0,0.58333,0.0,0.083333,0.0,0.0,0.25,0.0,0.0,4.5556,5.5556,7.1111,3.6667,5.8889,2.7778,4.4444,5.2222,4.2222,6.2222,3.1111,2.2222,6.2222,2.4444
364,0.0,0.0,0.0,0.0,0.0,0.41667,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.083333,0.58333,0.0,0.58333,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.25,0.33333,0.0,4.5556,5.8889,6.5556,4.0,5.8889,2.3333,4.2222,5.1111,3.5556,6.0,3.1111,2.2222,2.1111,1.4444
