num,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
955,2.7778,5.0,5.7778,5.3333,4.1111,4.1111,3.8889,3.4444,3.2222,4.0,5.8889,3.6667,3.8889,3.0
956,1.7778,3.3333,3.8889,4.1111,4.2222,4.4444,3.0,4.8889,2.7778,3.8889,4.4444,4.8889,3.7778,2.7778
957,4.3333,5.3333,5.0,5.1111,4.6667,4.7778,5.4444,3.3333,5.2222,3.8889,4.1111,4.1111,6.2222,5.6667
958,2.0,5.3333,5.0,4.0,3.6667,2.5556,3.2222,5.5556,2.6667,2.8889,5.3333,3.1111,2.1111,1.7778
959,5.7778,5.6667,5.4444,5.3333,4.6667,6.3333,5.0,3.3333,6.4444,3.8889,4.2222,5.7778,6.6667,5.5556
960,7.0,5.8889,6.7778,5.8889,5.0,7.5556,5.8889,4.0,6.7778,4.4444,4.5556,6.0,7.2222,7.0
961,7.4444,6.7778,5.7778,5.7778,5.0,6.5556,4.8889,2.7778,6.5556,4.2222,2.0,6.6667,6.2222,7.6667
962,1.7778,7.1111,7.4444,2.7778,4.7778,1.5556,4.2222,5.0,3.1111,5.2222,5.4444,2.3333,2.7778,3.2222
963,7.3333,6.6667,5.8889,6.1111,3.8889,6.5556,5.5556,3.1111,6.6667,4.7778,3.0,6.7778,6.3333,7.7778
964,6.2222,6.6667,6.6667,5.2222,5.8889,7.0,6.4444,2.6667,6.3333,6.2222,3.5556,6.7778,6.0,7.0
965,1.8889,6.4444,7.1111,3.2222,4.0,1.6667,3.8889,5.4444,2.2222,3.6667,5.0,3.0,2.6667,1.7778
966,6.0,5.3333,5.6667,5.6667,5.7778,6.4444,5.7778,2.4444,6.4444,5.8889,1.8889,6.8889,6.3333,7.4444
967,5.3333,5.6667,6.3333,5.3333,4.8889,7.0,5.7778,2.4444,6.7778,5.6667,1.6667,6.0,6.2222,6.8889
968,2.6667,4.7778,5.8889,4.6667,3.2222,3.8889,5.3333,5.2222,3.3333,3.6667,4.3333,4.2222,3.4444,2.5556
969,3.6667,6.2222,6.5556,4.7778,4.8889,4.3333,5.2222,3.3333,4.7778,5.4444,3.6667,4.0,6.0,6.0
970,4.7778,6.5556,6.8889,4.4444,6.2222,6.0,5.1111,4.7778,6.7778,5.6667,3.8889,3.4444,7.3333,6.0
971,2.0,6.8889,6.8889,3.7778,5.7778,2.6667,4.0,5.0,1.7778,4.1111,5.2222,3.1111,3.1111,1.6667
972,7.4444,6.5556,6.1111,6.3333,6.7778,6.6667,5.0,2.1111,7.7778,6.1111,1.7778,7.7778,6.4444,8.1111
973,2.4444,6.7778,7.2222,3.3333,7.0,2.2222,5.4444,5.3333,3.5556,5.3333,3.4444,2.3333,4.8889,2.8889
974,5.7778,6.6667,6.5556,5.3333,4.7778,6.5556,5.6667,4.1111,5.6667,4.6667,3.7778,6.4444,7.2222,6.6667
975,4.3333,5.1111,5.8889,5.0,7.0,5.2222,4.0,4.4444,3.8889,5.3333,2.8889,5.1111,4.6667,3.2222
976,2.3333,6.4444,5.8889,4.2222,4.8889,3.2222,5.6667,3.6667,4.1111,4.2222,4.1111,3.6667,4.5556,3.8889
977,3.3333,6.1111,6.8889,3.0,5.4444,2.2222,4.5556,5.6667,2.3333,4.3333,5.0,2.8889,2.6667,2.7778
978,6.8889,5.7778,5.8889,6.0,6.8889,7.6667,4.1111,1.8889,7.0,5.5556,2.8889,7.4444,6.5556,7.3333
979,3.5556,5.3333,6.4444,4.4444,4.1111,4.7778,4.8889,4.6667,4.2222,4.0,3.3333,5.2222,3.4444,4.2222
980,6.6667,6.6667,6.3333,5.7778,5.7778,6.6667,5.6667,2.4444,5.6667,4.3333,3.0,6.8889,6.3333,6.8889
981,7.2222,6.1111,6.1111,5.7778,6.2222,6.7778,4.4444,2.5556,6.4444,5.6667,3.4444,6.4444,6.3333,6.8889
982,6.0,7.0,6.5556,6.1111,5.5556,6.2222,6.0,4.2222,5.8889,4.7778,2.7778,6.0,7.1111,7.1111
983,5.4444,6.1111,7.1111,5.3333,5.5556,6.1111,5.5556,4.3333,5.4444,4.6667,2.8889,4.6667,6.7778,5.7778
984,5.5556,5.8889,6.0,5.2222,5.3333,5.5556,5.4444,2.6667,5.6667,4.8889,2.7778,6.7778,6.2222,6.5556
985,3.6667,7.0,6.8889,4.6667,5.7778,4.1111,4.0,3.3333,3.1111,3.7778,4.0,2.6667,5.6667,4.7778
986,3.0,7.2222,6.8889,3.7778,4.6667,5.7778,4.1111,4.0,6.0,3.3333,4.2222,2.5556,7.1111,4.1111
987,6.4444,5.5556,5.4444,5.6667,5.2222,6.8889,4.3333,1.6667,6.3333,5.5556,2.4444,5.5556,7.1111,6.0
988,2.5556,5.6667,7.1111,5.2222,4.4444,6.4444,4.3333,2.4444,6.0,4.3333,3.3333,4.1111,6.2222,4.2222
989,3.7778,4.0,4.6667,5.1111,3.0,7.1111,4.0,5.1111,5.3333,1.6667,5.4444,4.8889,4.6667,3.2222
990,3.8889,5.8889,6.1111,4.7778,3.3333,4.7778,4.6667,3.8889,5.4444,3.7778,2.4444,4.5556,5.7778,4.7778
991,1.0,3.6667,4.6667,2.5556,3.6667,1.5556,4.0,7.6667,1.3333,2.3333,6.4444,1.8889,1.1111,1.0
992,7.0,7.2222,6.7778,7.3333,7.3333,8.1111,5.6667,1.7778,4.6667,6.3333,2.1111,7.3333,7.3333,8.2222
993,7.1111,6.3333,5.8889,5.5556,6.7778,5.3333,5.2222,1.6667,5.3333,4.4444,3.6667,5.5556,6.5556,7.7778
994,1.6667,5.5556,6.8889,3.5556,4.1111,3.1111,2.7778,2.8889,4.2222,3.4444,4.8889,2.6667,5.7778,3.3333
995,5.5556,5.0,5.8889,5.8889,6.2222,6.4444,4.6667,1.8889,6.0,5.7778,3.4444,5.3333,6.7778,6.0
996,5.3333,7.1111,7.1111,6.4444,6.3333,7.6667,4.1111,1.2222,7.0,4.6667,2.7778,4.7778,6.8889,7.6667
997,7.7778,8.6667,7.3333,7.2222,6.4444,7.8889,6.0,1.4444,6.2222,6.8889,2.6667,7.2222,7.6667,8.3333
998,6.3333,4.8889,6.3333,6.7778,6.8889,6.4444,5.4444,2.8889,5.4444,6.0,2.5556,6.6667,5.3333,6.1111
999,2.3333,2.8889,3.8889,4.8889,2.3333,4.5556,2.6667,5.7778,4.8889,1.7778,3.8889,3.4444,4.2222,2.7778
1000,6.5556,6.1111,7.0,5.4444,6.4444,6.7778,5.4444,2.1111,7.3333,4.2222,2.2222,6.2222,7.7778,7.3333
1001,2.2222,5.7778,6.4444,3.3333,4.8889,2.1111,3.2222,5.2222,3.1111,4.0,3.8889,1.6667,3.8889,3.4444
1002,5.2222,6.0,6.3333,4.7778,5.7778,6.1111,5.1111,2.4444,5.7778,4.2222,3.1111,6.2222,6.6667,7.1111
1003,6.4444,4.0,5.5556,5.7778,5.4444,7.4444,5.0,2.3333,6.7778,6.0,3.2222,7.5556,6.6667,5.8889
1004,1.3333,4.5556,5.4444,3.7778,6.3333,3.3333,3.5556,4.8889,3.3333,4.2222,3.2222,2.7778,2.8889,1.5556
